Filename,WordNum,WordID,Syllable_01,Syllable_02,Syllable_03
SEQ_09.wav,1,RU_PU_NI,RU,PU,NI
SEQ_09.wav,2,TA_FU_KO,TA,FU,KO
SEQ_09.wav,3,MO_NA_LU,MO,NA,LU
SEQ_09.wav,4,RU_PU_NI,RU,PU,NI
SEQ_09.wav,5,SI_LU_MO,SI,LU,MO
SEQ_09.wav,6,MO_NA_LU,MO,NA,LU
SEQ_09.wav,7,FI_TI_SU,FI,TI,SU
SEQ_09.wav,8,RU_PU_NI,RU,PU,NI
SEQ_09.wav,9,FI_TI_SU,FI,TI,SU
SEQ_09.wav,10,TA_FU_KO,TA,FU,KO
SEQ_09.wav,11,NA_MO_SI,NA,MO,SI
SEQ_09.wav,12,RU_PU_NI,RU,PU,NI
SEQ_09.wav,13,FI_TI_SU,FI,TI,SU
SEQ_09.wav,14,RU_PU_NI,RU,PU,NI
SEQ_09.wav,15,SI_LU_MO,SI,LU,MO
SEQ_09.wav,16,MO_NA_LU,MO,NA,LU
SEQ_09.wav,17,TA_FU_KO,TA,FU,KO
SEQ_09.wav,18,MO_NA_LU,MO,NA,LU
SEQ_09.wav,19,RU_PU_NI,RU,PU,NI
SEQ_09.wav,20,NA_MO_SI,NA,MO,SI
SEQ_09.wav,21,TA_FU_KO,TA,FU,KO
SEQ_09.wav,22,SI_LU_MO,SI,LU,MO
SEQ_09.wav,23,NA_MO_SI,NA,MO,SI
SEQ_09.wav,24,FI_TI_SU,FI,TI,SU
SEQ_09.wav,25,SI_LU_MO,SI,LU,MO
SEQ_09.wav,26,RI_GI_MI,RI,GI,MI
SEQ_09.wav,27,FI_TI_SU,FI,TI,SU
SEQ_09.wav,28,RI_GI_MI,RI,GI,MI
SEQ_09.wav,29,RU_PU_NI,RU,PU,NI
SEQ_09.wav,30,SI_LU_MO,SI,LU,MO
SEQ_09.wav,31,NA_MO_SI,NA,MO,SI
SEQ_09.wav,32,RI_GI_MI,RI,GI,MI
SEQ_09.wav,33,MO_NA_LU,MO,NA,LU
SEQ_09.wav,34,RU_PU_NI,RU,PU,NI
SEQ_09.wav,35,FI_TI_SU,FI,TI,SU
SEQ_09.wav,36,MO_NA_LU,MO,NA,LU
SEQ_09.wav,37,LU-SI-NA,LU,SI,NA
SEQ_09.wav,38,SI_LU_MO,SI,LU,MO
SEQ_09.wav,39,FI_TI_SU,FI,TI,SU
SEQ_09.wav,40,SI_LU_MO,SI,LU,MO
SEQ_09.wav,41,RU_PU_NI,RU,PU,NI
SEQ_09.wav,42,TA_FU_KO,TA,FU,KO
SEQ_09.wav,43,LU-SI-NA,LU,SI,NA
SEQ_09.wav,44,RI_GI_MI,RI,GI,MI
SEQ_09.wav,45,NA_MO_SI,NA,MO,SI
SEQ_09.wav,46,LU-SI-NA,LU,SI,NA
SEQ_09.wav,47,TA_FU_KO,TA,FU,KO
SEQ_09.wav,48,LU-SI-NA,LU,SI,NA
SEQ_09.wav,49,RU_PU_NI,RU,PU,NI
SEQ_09.wav,50,SI_LU_MO,SI,LU,MO
SEQ_09.wav,51,LU-SI-NA,LU,SI,NA
SEQ_09.wav,52,RI_GI_MI,RI,GI,MI
SEQ_09.wav,53,MO_NA_LU,MO,NA,LU
